Symbol,Name,Sector,Volume,Weight
MMM,3M,Industrials
AOS,A. O. Smith,Industrials
ABT,Abbott,Health Care
ABBV,AbbVie,Health Care
ABMD,Abiomed,Health Care
ACN,Accenture,Information Technology
ATVI,Activision Blizzard,Communication Services
ADM,ADM,Consumer Staples
ADBE,Adobe,Information Technology
ADP,ADP,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AES,AES,Utilities
AFL,Aflac,Financials
A,Agilent Technologies,Health Care
AIG,AIG,Financials
APD,Air Products,Materials
AKAM,Akamai,Information Technology
ALK,Alaska Air Group,Industrials
ALB,Albemarle,Materials
ARE,Alexandria,Real Estate
ALGN,Align,Health Care
ALLE,Allegion,Industrials
LNT,Alliant Energy,Utilities
ALL,Allstate,Financials
GOOGL,Alphabet (Class A),Communication Services
GOOG,Alphabet (Class C),Communication Services
MO,Altria,Consumer Staples
AMZN,Amazon,Consumer Discretionary
AMCR,Amcor,Materials
AMD,AMD,Information Technology
AEE,Ameren,Utilities
AAL,American Airlines Group,Industrials
AEP,American Electric Power,Utilities
AXP,American Express,Financials
AMT,American Tower,Real Estate
AWK,American Water,Utilities
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen,Health Care
AME,Ametek,Industrials
AMGN,Amgen,Health Care
APH,Amphenol,Information Technology
ADI,Analog Devices,Information Technology
ANSS,Ansys,Information Technology
ANTM,Anthem,Health Care
AON,Aon,Financials
APA,APA Corporation,Energy
AAPL,Apple,Information Technology
AMAT,Applied Materials,Information Technology
APTV,Aptiv,Consumer Discretionary
ANET,Arista,Information Technology
AIZ,Assurant,Financials
T,AT&T,Communication Services
ATO,Atmos Energy,Utilities
ADSK,Autodesk,Information Technology
AZO,AutoZone,Consumer Discretionary
AVB,AvalonBay Communities,Real Estate
AVY,Avery Dennison,Materials
BKR,Baker Hughes,Energy
BALL,Ball,Materials
BAC,Bank of America,Financials
BBWI,Bath & Body Works,Consumer Discretionary
BAX,Baxter,Health Care
BDX,Becton Dickinson,Health Care
WRB,Berkley,Financials
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy,Consumer Discretionary
BIO,Bio-Rad,Health Care
TECH,Bio-Techne,Health Care
BIIB,Biogen,Health Care
BLK,BlackRock,Financials
BK,BNY Mellon,Financials
BA,Boeing,Industrials
BKNG,Booking Holdings,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Real Estate
BSX,Boston Scientific,Health Care
BMY,Bristol Myers Squibb,Health Care
AVGO,Broadcom,Information Technology
BR,Broadridge,Information Technology
BRO,Brown & Brown,Financials
BF.B,Brown–Forman,Consumer Staples
CHRW,C.H. Robinson,Industrials
CDNS,Cadence,Information Technology
CZR,Caesars Entertainment,Consumer Discretionary
CPT,Camden,Real Estate
CPB,Campbell's,Consumer Staples
COF,Capital One,Financials
CAH,Cardinal Health,Health Care
KMX,CarMax,Consumer Discretionary
CCL,Carnival,Consumer Discretionary
CARR,Carrier,Industrials
CTLT,Catalent,Health Care
CAT,Caterpillar,Industrials
CBOE,Cboe,Financials
CBRE,CBRE,Real Estate
CDW,CDW,Information Technology
CE,Celanese,Materials
CNC,Centene,Health Care
CNP,CenterPoint Energy,Utilities
CDAY,Ceridian,Information Technology
CF,CF Industries,Materials
CRL,Charles River,Health Care
SCHW,Charles Schwab,Financials
CHTR,Charter Communications,Communication Services
CVX,Chevron,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb,Financials
CHD,Church & Dwight,Consumer Staples
CI,Cigna,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas,Industrials
CSCO,Cisco,Information Technology
C,Citigroup,Financials
CFG,Citizens,Financials
CTXS,Citrix,Information Technology
CLX,Clorox,Consumer Staples
CME,CME Group,Financials
CMS,CMS Energy,Utilities
KO,Coca-Cola,Consumer Staples
CTSH,Cognizant,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast,Communication Services
CMA,Comerica,Financials
ED,Con Edison,Utilities
CAG,Conagra Brands,Consumer Staples
COP,ConocoPhillips,Energy
STZ,Constellation Brands,Consumer Staples
CEG,Constellation Energy,Utilities
COO,CooperCompanies,Health Care
CPRT,Copart,Industrials
GLW,Corning,Information Technology
CTVA,Corteva,Materials
COST,Costco,Consumer Staples
CTRA,Coterra,Energy
CCI,Crown Castle,Real Estate
CSX,CSX,Industrials
CMI,Cummins,Industrials
CVS,CVS Health,Health Care
DHI,D.R. Horton,Consumer Discretionary
DHR,Danaher,Health Care
DRI,Darden,Consumer Discretionary
DVA,DaVita,Health Care
DE,Deere & Co.,Industrials
DAL,Delta Air Lines,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon,Energy
DXCM,DexCom,Health Care
FANG,Diamondback,Energy
DLR,Digital Realty,Real Estate
DFS,Discover,Financials
DISH,Dish,Communication Services
DIS,Disney,Communication Services
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Energy,Utilities
DPZ,Domino's,Consumer Discretionary
DOV,Dover,Industrials
DOW,Dow,Materials
DTE,DTE,Utilities
DUK,Duke Energy,Utilities
DRE,Duke Realty,Real Estate
DD,DuPont,Materials
DXC,DXC Technology,Information Technology
EMN,Eastman,Materials
ETN,Eaton,Industrials
EBAY,eBay,Consumer Discretionary
ECL,Ecolab,Materials
EIX,Edison International,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Communication Services
EMR,Emerson,Industrials
ENPH,Enphase,Information Technology
ETR,Entergy,Utilities
EOG,EOG Resources,Energy
EPAM,EPAM,Information Technology
EFX,Equifax,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,Essex,Real Estate
EL,Estée Lauder Companies,Consumer Staples
ETSY,Etsy,Consumer Discretionary
RE,Everest,Financials
EVRG,Evergy,Utilities
ES,Eversource,Utilities
EXC,Exelon,Utilities
EXPE,Expedia Group,Consumer Discretionary
EXPD,Expeditors,Industrials
EXR,Extra Space Storage,Real Estate
XOM,ExxonMobil,Energy
FFIV,F5,Information Technology
FDS,FactSet,Financials
FAST,Fastenal,Industrials
FRT,Federal Realty,Real Estate
FDX,FedEx,Industrials
FITB,Fifth Third Bank,Financials
FRC,First Republic,Financials
FE,FirstEnergy,Utilities
FIS,FIS,Information Technology
FISV,Fiserv,Information Technology
FLT,Fleetcor,Information Technology
FMC,FMC,Materials
F,Ford,Consumer Discretionary
FTNT,Fortinet,Information Technology
FTV,Fortive,Industrials
FBHS,Fortune Brands,Industrials
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
BEN,Franklin Templeton,Financials
FCX,Freeport-McMoRan,Materials
AJG,Gallagher,Financials
GRMN,Garmin,Consumer Discretionary
IT,Gartner,Information Technology
GE,GE,Industrials
GNRC,Generac,Industrials
GD,General Dynamics,Industrials
GIS,General Mills,Consumer Staples
GPC,Genuine Parts,Consumer Discretionary
GILD,Gilead,Health Care
GPN,Global Payments,Information Technology
GL,Globe Life,Financials
GM,GM,Consumer Discretionary
GS,Goldman Sachs,Financials
GWW,Grainger,Industrials
HAL,Halliburton,Energy
HIG,Hartford (The),Financials
HAS,Hasbro,Consumer Discretionary
HCA,HCA Healthcare,Health Care
PEAK,Healthpeak,Real Estate
HSIC,Henry Schein,Health Care
HSY,Hershey's,Consumer Staples
HES,Hess,Energy
HPE,Hewlett Packard Enterprise,Information Technology
HLT,Hilton,Consumer Discretionary
HOLX,Hologic,Health Care
HD,Home Depot,Consumer Discretionary
HON,Honeywell,Industrials
HRL,Hormel,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HWM,Howmet Aerospace,Industrials
HPQ,HP,Information Technology
HUM,Humana,Health Care
HII,Huntington Ingalls Industries,Industrials
HBAN,Huntington National Bank,Financials
IBM,IBM,Information Technology
IEX,IDEX,Industrials
IDXX,Idexx Laboratories,Health Care
ITW,Illinois Tool Works,Industrials
ILMN,Illumina,Health Care
INCY,Incyte,Health Care
IR,Ingersoll Rand,Industrials
INTC,Intel,Information Technology
ICE,Intercontinental Exchange,Financials
IFF,International Flavors & Fragrances,Materials
IP,International Paper,Materials
IPG,Interpublic Group,Communication Services
INTU,Intuit,Information Technology
ISRG,Intuitive Surgical,Health Care
IVZ,Invesco,Financials
IPGP,IPG Photonics,Information Technology
IQV,IQVIA,Health Care
IRM,Iron Mountain,Real Estate
JBHT,J.B. Hunt,Industrials
JKHY,Jack Henry & Associates,Information Technology
J,Jacobs,Industrials
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls,Industrials
JPM,JPMorgan Chase,Financials
JNPR,Juniper Networks,Information Technology
K,Kellogg's,Consumer Staples
KEY,KeyCorp,Financials
KEYS,Keysight,Information Technology
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Real Estate
KMI,Kinder Morgan,Energy
KLAC,KLA,Information Technology
KHC,Kraft Heinz,Consumer Staples
KR,Kroger,Consumer Staples
LHX,L3Harris,Industrials
LH,LabCorp,Health Care
LRCX,Lam Research,Information Technology
LW,Lamb Weston,Consumer Staples
LVS,Las Vegas Sands,Consumer Discretionary
LDOS,Leidos,Industrials
LEN,Lennar,Consumer Discretionary
LLY,Lilly,Health Care
LNC,Lincoln Financial,Financials
LIN,Linde,Materials
LYV,Live Nation Entertainment,Communication Services
LKQ,LKQ Corporation,Consumer Discretionary
LMT,Lockheed Martin,Industrials
L,Loews Corporation,Financials
LOW,Lowe's,Consumer Discretionary
LUMN,Lumen,Communication Services
LYB,LyondellBasell,Materials
MTB,M&T Bank,Financials
MRO,Marathon Oil,Energy
MPC,Marathon Petroleum,Energy
MKTX,MarketAxess,Financials
MAR,Marriott International,Consumer Discretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta,Materials
MAS,Masco,Industrials
MA,Mastercard,Information Technology
MTCH,Match Group,Communication Services
MKC,McCormick,Consumer Staples
MCD,McDonald's,Consumer Discretionary
MCK,McKesson,Health Care
MDT,Medtronic,Health Care
MRK,Merck,Health Care
META,Meta,Communication Services
MET,MetLife,Financials
MTD,Mettler Toledo,Health Care
MGM,MGM Resorts,Consumer Discretionary
MCHP,Microchip,Information Technology
MU,Micron,Information Technology
MSFT,Microsoft,Information Technology
MAA,Mid-America Apartments,Real Estate
MRNA,Moderna,Health Care
MHK,Mohawk Industries,Consumer Discretionary
MOH,Molina Healthcare,Health Care
TAP,Molson Coors,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MPWR,Monolithic Power Systems,Information Technology
MNST,Monster Beverage,Consumer Staples
MCO,Moody's,Financials
MS,Morgan Stanley,Financials
MOS,Mosaic,Materials
MSI,Motorola Solutions,Information Technology
MSCI,MSCI,Financials
NDAQ,Nasdaq,Financials
NTAP,NetApp,Information Technology
NFLX,Netflix,Communication Services
NWL,Newell Brands,Consumer Discretionary
NEM,Newmont,Materials
NWSA,News Corp (Class A),Communication Services
NWS,News Corp (Class B),Communication Services
NEE,NextEra Energy,Utilities
NLSN,Nielsen,Industrials
NKE,Nike,Consumer Discretionary
NI,NiSource,Utilities
NDSN,Nordson,Industrials
NSC,Norfolk Southern,Industrials
NTRS,Northern Trust,Financials
NOC,Northrop Grumman,Industrials
NLOK,NortonLifeLock,Information Technology
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NRG,NRG Energy,Utilities
NUE,Nucor,Materials
NVDA,Nvidia,Information Technology
NVR,NVR,Consumer Discretionary
NXPI,NXP,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
ODFL,Old Dominion,Industrials
OMC,Omnicom Group,Communication Services
OKE,Oneok,Energy
ORCL,Oracle,Information Technology
OGN,Organon,Health Care
OTIS,Otis,Industrials
PCAR,Paccar,Industrials
PKG,Packaging Corporation of America,Materials
PARA,Paramount,Communication Services
PH,Parker,Industrials
PAYX,Paychex,Information Technology
PAYC,Paycom,Information Technology
PYPL,PayPal,Information Technology
PENN,Penn National Gaming,Consumer Discretionary
PNR,Pentair,Industrials
PEP,PepsiCo,Consumer Staples
PKI,PerkinElmer,Health Care
PFE,Pfizer,Health Care
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West,Utilities
PXD,Pioneer Natural Resources,Energy
PNC,PNC Financial Services,Financials
POOL,Pool Corporation,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL,Utilities
PFG,Principal,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive,Financials
PLD,Prologis,Real Estate
PRU,Prudential,Financials
PEG,PSEG,Utilities
PTC,PTC,Information Technology
PSA,Public Storage,Real Estate
PHM,PulteGroup,Consumer Discretionary
PVH,PVH,Consumer Discretionary
QRVO,Qorvo,Information Technology
QCOM,Qualcomm,Information Technology
PWR,Quanta,Industrials
DGX,Quest Diagnostics,Health Care
RL,Ralph Lauren,Consumer Discretionary
RJF,Raymond James,Financials
RTX,Raytheon Technologies,Industrials
O,Realty Income,Real Estate
REG,Regency Centers,Real Estate
REGN,Regeneron,Health Care
RF,Regions,Financials
RSG,Republic Services,Industrials
RMD,ResMed,Health Care
RHI,Robert Half,Industrials
ROK,Rockwell Automation,Industrials
ROL,Rollins,Industrials
ROP,Roper,Industrials
ROST,Ross,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SPGI,S&P Global,Financials
CRM,Salesforce,Information Technology
SBAC,SBA Communications,Real Estate
SLB,Schlumberger,Energy
STX,Seagate,Information Technology
SEE,Sealed Air,Materials
SRE,Sempra,Utilities
NOW,ServiceNow,Information Technology
SHW,Sherwin-Williams,Materials
SBNY,Signature Bank,Financials
SPG,Simon,Real Estate
SWKS,Skyworks,Information Technology
SJM,Smucker,Consumer Staples
SNA,Snap-on,Industrials
SEDG,SolarEdge,Information Technology
SO,Southern Company,Utilities
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Industrials
SBUX,Starbucks,Consumer Discretionary
STT,State Street,Financials
STE,Steris,Health Care
SYK,Stryker,Health Care
SIVB,SVB Financial,Financials
SYF,Synchrony,Financials
SNPS,Synopsys,Information Technology
SYY,Sysco,Consumer Staples
TMUS,T-Mobile,Communication Services
TROW,T. Rowe Price,Financials
TTWO,Take-Two Interactive,Communication Services
TPR,Tapestry,Consumer Discretionary
TGT,Target,Consumer Discretionary
TEL,TE Connectivity,Information Technology
TDY,Teledyne,Industrials
TFX,Teleflex,Health Care
TER,Teradyne,Information Technology
TSLA,Tesla,Consumer Discretionary
TXN,Texas Instruments,Information Technology
TXT,Textron,Industrials
TMO,Thermo Fisher Scientific,Health Care
TJX,TJX Companies,Consumer Discretionary
TSCO,Tractor Supply,Consumer Discretionary
TT,Trane Technologies,Industrials
TDG,TransDigm,Industrials
TRV,Travelers,Financials
TRMB,Trimble,Information Technology
TFC,Truist,Financials
TWTR,Twitter,Communication Services
TYL,Tyler Technologies,Information Technology
TSN,Tyson,Consumer Staples
USB,U.S. Bank,Financials
UDR,UDR,Real Estate
ULTA,Ulta Beauty,Consumer Discretionary
UAA,Under Armour (Class A),Consumer Discretionary
UA,Under Armour (Class C),Consumer Discretionary
UNP,Union Pacific,Industrials
UAL,United Airlines,Industrials
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
UNH,UnitedHealth Group,Health Care
UHS,Universal Health Services,Health Care
VLO,Valero,Energy
VTR,Ventas,Real Estate
VRSN,Verisign,Information Technology
VRSK,Verisk,Industrials
VZ,Verizon,Communication Services
VRTX,Vertex,Health Care
VFC,VF Corporation,Consumer Discretionary
VTRS,Viatris,Health Care
VICI,Vici,Real Estate
V,Visa,Information Technology
VNO,Vornado Realty Trust,Real Estate
VMC,Vulcan Materials,Materials
WAB,Wabtec,Industrials
WBA,Walgreens Boots Alliance,Consumer Staples
WMT,Walmart,Consumer Staples
WBD,Warner Bros. Discovery,Communication Services
WM,Waste Management,Industrials
WAT,Waters,Health Care
WEC,WEC Energy Group,Utilities
WFC,Wells Fargo,Financials
WELL,Welltower,Real Estate
WST,West Pharmaceutical Services,Health Care
WDC,Western Digital,Information Technology
WRK,WestRock,Materials
WY,Weyerhaeuser,Real Estate
WHR,Whirlpool,Consumer Discretionary
WMB,Williams,Energy
WTW,Willis Towers Watson,Financials
WYNN,Wynn Resorts,Consumer Discretionary
XEL,Xcel Energy,Utilities
XYL,Xylem,Industrials
YUM,Yum! Brands,Consumer Discretionary
ZBRA,Zebra,Information Technology
ZBH,Zimmer Biomet,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
